Process,Lon,Lat,Year,m_se
GIA,-70.375,42.875,1917,4.0695149405622926e-4
GIA,-70.375,42.875,1918,4.0695149405622926e-4
GIA,-70.375,42.875,1919,4.0695149405622926e-4
GIA,-70.375,42.875,1920,4.0695149405622926e-4
GIA,-70.375,42.875,1921,4.0695149405622926e-4
GIA,-70.375,42.875,1922,4.0695149405622926e-4
GIA,-70.375,42.875,1923,4.0695149405622926e-4
GIA,-70.375,42.875,1924,4.0695149405622926e-4
GIA,-70.375,42.875,1925,4.0695149405622926e-4
GIA,-70.375,42.875,1926,4.0695149405622926e-4
GIA,-70.375,42.875,1927,4.0695149405622926e-4
GIA,-70.375,42.875,1928,4.0695149405622926e-4
GIA,-70.375,42.875,1929,4.0695149405622926e-4
GIA,-70.375,42.875,1930,4.0695149405622926e-4
GIA,-70.375,42.875,1931,4.0695149405622926e-4
GIA,-70.375,42.875,1932,4.0695149405622926e-4
GIA,-70.375,42.875,1933,4.0695149405622926e-4
GIA,-70.375,42.875,1934,4.0695149405622926e-4
GIA,-70.375,42.875,1935,4.0695149405622926e-4
GIA,-70.375,42.875,1936,4.0695149405622926e-4
GIA,-70.375,42.875,1937,4.0695149405622926e-4
GIA,-70.375,42.875,1938,4.0695149405622926e-4
GIA,-70.375,42.875,1939,4.0695149405622926e-4
GIA,-70.375,42.875,1940,4.0695149405622926e-4
GIA,-70.375,42.875,1941,4.0695149405622926e-4
GIA,-70.375,42.875,1942,4.0695149405622926e-4
GIA,-70.375,42.875,1943,4.0695149405622926e-4
GIA,-70.375,42.875,1944,4.0695149405622926e-4
GIA,-70.375,42.875,1945,4.0695149405622926e-4
GIA,-70.375,42.875,1946,4.0695149405622926e-4
GIA,-70.375,42.875,1947,4.0695149405622926e-4
GIA,-70.375,42.875,1948,4.0695149405622926e-4
GIA,-70.375,42.875,1949,4.0695149405622926e-4
GIA,-70.375,42.875,1950,4.0695149405622926e-4
GIA,-70.375,42.875,1951,4.0695149405622926e-4
